Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33016759776536E+09,1.32067039106145E+09,1.37988826815642E+09,1.53184357541899E+09,1.66536312849162E+09,1.72279888268156E+09,1.87345251396648E+09,1.92026256983240E+09,1.94109497206704E+09,2.02130167597765E+09,2.22827932960894E+09,2.33100558659218E+09,2.42147486033520E+09,2.62372625698324E+09,2.79196089385475E+09,2.49893296089385E+09,2.46770391061453E+09,2.58446368715084E+09,0,0,0
Australia,AUS,1.85743084331952E+10,1.96516967185575E+10,1.98868854294994E+10,2.15007279650577E+10,2.37585395900997E+10,2.59301153544630E+10,2.72550117594355E+10,3.03830216149625E+10,3.26475529174600E+10,3.66121626161944E+10,4.12520998992048E+10,4.51271138985329E+10,5.19369158878505E+10,6.37001921844971E+10,8.87899778924097E+10,9.70981838044517E+10,1.04832976175470E+11,1.10115852259693E+11,1.18238213399504E+11,1.34607520163581E+11,1.49679108635098E+11,1.76557529316150E+11,1.93684210526316E+11,1.76929340196537E+11,1.93232204310813E+11,1.80215540385058E+11,1.82032736429771E+11,1.89113287453679E+11,2.35787252619325E+11,2.99474798469180E+11,3.10944978838015E+11,3.25641629385449E+11,3.25313389217873E+11,3.12028527262507E+11,3.22874437910758E+11,3.68022720522721E+11,4.01409711684370E+11,4.35636249804351E+11,3.99325103438920E+11,3.88692192004010E+11,4.14987125541669E+11,3.78488247289900E+11,3.94250732524069E+11,4.66451368666278E+11,6.12871674491393E+11,6.93338595699895E+11,7.47205750224618E+11,8.53441155688153E+11,1.05503165229847E+12,9.26283274398266E+11,1.14126776018809E+12,1.38806635609235E+12,1.53442590576281E+12,1.56037247312521E+12,0
Austria,AUT,6.59269384118495E+09,7.31174963336229E+09,7.75611021011966E+09,8.37417525773075E+09,9.16998388571185E+09,9.99407061585997E+09,1.08876822731014E+10,1.15794316689165E+10,1.24406253128685E+10,1.35827985562404E+10,1.53359722677957E+10,1.78154649190439E+10,2.20064708613608E+10,2.94443653102818E+10,3.51045290783274E+10,3.99627042743146E+10,4.28564856178569E+10,5.14215856298393E+10,6.19027749455131E+10,7.37591818836850E+10,8.18612328228036E+10,7.08631068774840E+10,7.11035853835605E+10,7.19472772330320E+10,6.78215685991335E+10,6.92196219074222E+10,9.87975873817035E+10,1.23869321397475E+11,1.33018182770534E+11,1.32785154342174E+11,1.66062376739683E+11,1.73375508073070E+11,1.94608183696469E+11,1.89921096652076E+11,2.03044926876280E+11,2.40457622492152E+11,2.36720496490772E+11,2.12323463750141E+11,2.17683626056025E+11,2.16725261027062E+11,1.96421706283398E+11,1.96953628635347E+11,2.12970685111989E+11,2.60721478555305E+11,2.99870270001800E+11,3.14641160523305E+11,3.34292246560363E+11,3.86439116524953E+11,4.27627368047362E+11,3.97570327085094E+11,3.89656071767182E+11,4.29099514393360E+11,4.07575161127056E+11,4.28321897648215E+11,0
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85800603591566E+09,8.79236581050940E+09,4.99135045754250E+09,3.97302739665195E+09,3.31373967354738E+09,3.05246752236104E+09,3.17674959311788E+09,3.96271016311167E+09,4.44639621763265E+09,4.58122244245783E+09,5.27261719604517E+09,5.70761824656848E+09,6.23602495120423E+09,7.27576611124309E+09,8.68051191849357E+09,1.32454218808340E+10,2.09822707332484E+10,3.30503437827759E+10,4.88524829600779E+10,4.42914904205026E+10,5.29027033761056E+10,6.59516272002026E+10,6.87309063136456E+10,7.35604843849586E+10,0
Bahamas The,BHS,1.69802257755072E+08,1.90096176551435E+08,2.12252822193840E+08,2.37742768508112E+08,2.66664053749305E+08,3.00392162479928E+08,3.40000006357830E+08,3.90196085727844E+08,4.44901969103758E+08,5.28137264777864E+08,5.38423167528913E+08,5.73400000000000E+08,5.90900000000000E+08,6.70900000000000E+08,6.32400000000000E+08,5.96200000000000E+08,6.42100000000000E+08,7.13000000000000E+08,8.32400000000000E+08,1.13980010000000E+09,1.33530000000000E+09,1.42650000000000E+09,1.57830000000000E+09,1.73280000000000E+09,2.04110000000000E+09,2.32069990000000E+09,2.47250000000000E+09,2.71399990000000E+09,2.81790000000000E+09,3.06200000000000E+09,3.16600000000000E+09,3.11116000000000E+09,3.10900000000000E+09,3.09200000000000E+09,3.25900000000000E+09,3.42900000000000E+09,3.60900000000000E+09,4.96111900000000E+09,5.35352400000000E+09,6.01997200000000E+09,6.32755200000000E+09,6.51665100000000E+09,6.95799600000000E+09,6.94931700000000E+09,7.09441300000000E+09,7.70622200000000E+09,7.96558800000000E+09,8.31899600000000E+09,8.24665000000000E+09,7.82042000000000E+09,7.91000000000000E+09,7.93100000000000E+09,8.21900000000000E+09,8.42000000000000E+09,0
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07269834580564E+09,3.46781935278404E+09,3.64574480568489E+09,3.73510651087238E+09,3.90558515500760E+09,3.65186191227732E+09,3.05239363643180E+09,3.39202122252906E+09,3.70239365868843E+09,3.86356404718578E+09,4.22978737887456E+09,4.61622347721288E+09,4.75106399246825E+09,5.20026605040256E+09,5.56755355234054E+09,5.84946811518505E+09,6.10186165574214E+09,6.34920260038155E+09,6.18394109231600E+09,6.62118641941610E+09,9.06314790087911E+09,8.97644641994569E+09,9.63241110908315E+09,1.10751165939503E+10,1.31505165090487E+10,1.59691513058362E+10,1.85055453602489E+10,2.17305779409027E+10,2.57111511824594E+10,2.29384621112991E+10,2.57135448249449E+10,2.90443781316823E+10,3.07567899658507E+10,3.28901105330908E+10,0
Bangladesh,BGD,4.27489391346431E+09,4.81758018356657E+09,5.08141333974945E+09,5.31945835112372E+09,5.38605461931076E+09,5.90663655695802E+09,6.43968759827648E+09,7.25357539926882E+09,7.48368547345840E+09,8.47100610089247E+09,8.99272180932801E+09,8.75184283973302E+09,6.28824586666667E+09,8.06702709760727E+09,1.24592825625000E+10,1.93959039212304E+10,1.00831635467397E+10,9.63246965806452E+09,1.32993585514369E+10,1.55859614126833E+10,1.81146451612903E+10,1.97629457103026E+10,1.80870000000000E+10,1.71557988692788E+10,1.96701609439185E+10,2.16132307692308E+10,2.11602343836785E+10,2.37814049322913E+10,2.56387493730508E+10,2.68252403474086E+10,3.01287763449379E+10,3.09574447669844E+10,3.17088637296566E+10,3.31665300609539E+10,3.37686614271044E+10,3.79397529590613E+10,4.06660156417747E+10,4.23187985366116E+10,4.40917541475771E+10,4.56940723793677E+10,4.71249254621348E+10,4.69878428465530E+10,4.75711300713913E+10,5.19136614853195E+10,5.65607440122303E+10,6.02775609756098E+10,7.18190887432996E+10,7.96118882131480E+10,9.16312782393237E+10,1.02477791472390E+11,1.15279077465226E+11,1.28637938711386E+11,1.33355744562539E+11,1.49990454541474E+11,0
Barbados,BRB,8.73831137082563E+07,9.32164323803695E+07,9.69497563305220E+07,1.09083059168518E+08,1.08383060927864E+08,1.14683045097089E+08,1.23608022665682E+08,1.37103729870016E+08,1.37300000000000E+08,1.54400000000000E+08,1.81500000000000E+08,2.04010328888222E+08,2.33383639978896E+08,2.84759098097978E+08,3.40492903658634E+08,4.02158285756234E+08,4.35871861918538E+08,4.95116619265309E+08,5.52876225283913E+08,6.70312672251523E+08,8.60438453320380E+08,9.46949724873939E+08,9.89409791650169E+08,1.05046482803944E+09,1.14493102591334E+09,1.19818024550696E+09,1.31556705294010E+09,1.44866502759519E+09,1.54089388255387E+09,1.70392271456329E+09,2.02331816438209E+09,2.00710974266963E+09,1.95090000000000E+09,2.04618894348556E+09,2.15129508919152E+09,2.26196977241831E+09,2.41187281371606E+09,2.54929636467692E+09,2.87445918062627E+09,3.01203188884215E+09,3.11950000000000E+09,3.11235000000000E+09,3.16860000000000E+09,3.27120000000000E+09,3.50970000000000E+09,3.89150000000000E+09,4.31405000000000E+09,4.51325000000000E+09,4.54155000000000E+09,4.59265000000000E+09,4.43370000000000E+09,4.36890000000000E+09,4.22485000000000E+09,0,0
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73695989581159E+10,1.78133898150040E+10,1.70221802722110E+10,1.62803725530518E+10,1.49315994184226E+10,1.39726376032102E+10,1.47568615384615E+10,1.41284124171930E+10,1.52220148283039E+10,1.21384853286267E+10,1.27368564851068E+10,1.23548201438849E+10,1.45949253929691E+10,1.78254360345366E+10,2.31415877177633E+10,3.02100918368294E+10,3.69619188587385E+10,4.52757119958250E+10,6.07634831460674E+10,4.92086569760389E+10,5.52209326139580E+10,5.97345939046402E+10,6.36154455668483E+10,7.17095136543393E+10,0
Belgium,BEL,1.16587225909900E+10,1.24001452215950E+10,1.32640156753193E+10,1.42600173870492E+10,1.59601066806732E+10,1.73714576079374E+10,1.86518834724808E+10,1.99920407884593E+10,2.13763531134750E+10,2.37107358947022E+10,2.68079132714804E+10,2.99352447167174E+10,3.73511391256530E+10,4.79256456220244E+10,5.62464940969345E+10,6.59283403531864E+10,7.13847380355277E+10,8.31554217220034E+10,1.01632148072243E+11,1.16758473170061E+11,1.27312375086219E+11,1.05128908518036E+11,9.24466968038142E+10,8.75163014595661E+10,8.36669872242390E+10,8.65968385759902E+10,1.20475908524472E+11,1.49963409292274E+11,1.62917260010971E+11,1.64846533579034E+11,2.06113804563013E+11,2.11312782752510E+11,2.35675876286073E+11,2.25577704407649E+11,2.45816831926694E+11,2.89122605363985E+11,2.80791270358306E+11,2.54099345963013E+11,2.59822627250500E+11,2.59666631152781E+11,2.37336281555187E+11,2.37397315436242E+11,2.58390080933559E+11,3.18573363431151E+11,3.70461343614386E+11,3.86944983335821E+11,4.10678121494634E+11,4.72284546030008E+11,5.20109349524799E+11,4.85803883922954E+11,4.84404271608088E+11,5.28237749142039E+11,4.98853259612046E+11,5.24805525215191E+11,0
