Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Equatorial Guinea,GNQ,0,0,9.12275167862188E+06,1.08400952882258E+07,1.27124714162862E+07,6.47483333333333E+07,6.91100000000000E+07,7.23174469327193E+07,6.75142857142857E+07,6.72257142857143E+07,6.63314285714286E+07,6.49469547567980E+07,6.54291982387080E+07,8.12032269138345E+07,9.41598627073691E+07,1.04295643388437E+08,1.03653049937970E+08,1.03987520075827E+08,0,0,5.06428807737503E+07,3.67314228456914E+07,4.42946477334790E+07,4.44424569476400E+07,5.03209144065688E+07,6.21185700053235E+07,7.64073959710488E+07,9.33458594050323E+07,1.00534656942699E+08,8.82659747260518E+07,1.12119411508746E+08,1.10906028612022E+08,1.34707183973556E+08,1.36047906005170E+08,1.00807002602709E+08,1.41853360895902E+08,2.32463022679122E+08,4.42337870426546E+08,3.70687634697573E+08,6.21117853413296E+08,1.04599853400361E+09,1.46113900793716E+09,1.80674273291090E+09,2.48474587582124E+09,4.41076426097786E+09,8.21736842525252E+09,8.08198243842333E+09,1.02012010219118E+10,1.54397403452575E+10,9.36482647014287E+09,1.15829177903046E+10,1.57257119430660E+10,1.64965312329983E+10,1.55805638359242E+10,0
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77101651648376E+08,4.67876293706829E+08,5.31688311688312E+08,5.78015625000000E+08,6.93535954190067E+08,6.86494476137988E+08,7.45526149499450E+08,6.88921325712043E+08,7.06370812289101E+08,7.52368494461824E+08,7.29321364095048E+08,8.70247701706937E+08,1.10905400242096E+09,1.09842589989884E+09,1.21116187950862E+09,1.31797449340894E+09,1.38018880003147E+09,1.85669555046865E+09,2.11703951070194E+09,2.60773983739837E+09,3.09196747967480E+09,3.44409756097561E+09,0
Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36219134539733E+09,4.73918142801405E+09,5.05914697926060E+09,5.60800734230726E+09,5.71527896081772E+09,5.68556159587211E+09,6.23350640050130E+09,7.30860883488744E+09,9.82214317976513E+09,1.20576397515528E+10,1.40030965527533E+10,1.69580448456933E+10,2.22286701681751E+10,2.41857940951301E+10,1.96406201540994E+10,1.94790124233530E+10,2.28034339329544E+10,2.26607542037911E+10,2.48802649581187E+10,0
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32490318840580E+09,7.70767801932367E+09,8.56789082125604E+09,8.09630236714976E+09,9.48084048309179E+09,9.84860086956522E+09,1.05273386473430E+10,1.09089357487923E+10,1.14765848792271E+10,1.21751667632850E+10,1.34638683574879E+10,1.04929930776093E+10,8.83071271390781E+09,6.92795056455657E+09,7.66398456790123E+09,8.54793973062374E+09,8.58921139049612E+09,7.81822490555071E+09,7.70083348200615E+09,8.24239210368061E+09,8.23132601647494E+09,7.85080949816803E+09,8.62369130004079E+09,1.01311872614421E+10,1.24011394539738E+10,1.52808618346024E+10,1.97076167727996E+10,2.70669126352228E+10,3.24373891160380E+10,2.99337903343418E+10,3.19527630893300E+10,4.33107214140829E+10,4.75251864900517E+10,0
Euro area,EMU,2.45741450919421E+11,2.70496115416974E+11,3.00179416913810E+11,3.36754036902061E+11,3.74546581696855E+11,4.08704335407045E+11,4.45678493691548E+11,4.84134676590190E+11,5.19006777304338E+11,5.73353370033015E+11,6.42231285870870E+11,7.27910567612333E+11,8.79407647845187E+11,1.14155665091097E+12,1.29441157572719E+12,1.50102359597811E+12,1.56630502366170E+12,1.78148090524537E+12,2.18151579988403E+12,2.64280932495971E+12,2.96016873313261E+12,2.57284490273623E+12,2.49092953871893E+12,2.43008059099197E+12,2.33105367723727E+12,2.39493325198776E+12,3.36125164783820E+12,4.15771214436820E+12,4.57337895063565E+12,4.67257127960334E+12,5.87823740042330E+12,6.10974900506536E+12,6.73521838912066E+12,6.16842996159347E+12,6.51468250143024E+12,7.51678498168389E+12,7.60601851470226E+12,6.95263021891785E+12,7.14495960178153E+12,7.11279942647157E+12,6.48319425988736E+12,6.58748393412174E+12,7.16601538511900E+12,8.84255407998292E+12,1.01396277069685E+13,1.05207474351879E+13,1.11682890682748E+13,1.28601020190974E+13,1.41003940818542E+13,1.28947588637272E+13,1.26322638017357E+13,1.36201078053255E+13,1.26626021142242E+13,1.31939882832075E+13,0
Europe & Central Asia (all income levels),ECS,4.33636383076753E+11,4.61590499911139E+11,5.04649394250825E+11,5.56483198408527E+11,6.16261233371679E+11,6.70608762802759E+11,7.28542046267560E+11,7.83847837615146E+11,8.17513630555554E+11,8.97547225140739E+11,1.00890373189470E+12,1.13743595024991E+12,1.36329902408068E+12,1.73071679541865E+12,1.95767099870710E+12,2.29277789470692E+12,2.38215394396511E+12,2.69925247081807E+12,3.29203375445992E+12,4.02504061859271E+12,4.55739554670760E+12,4.05175700158307E+12,3.90507815451346E+12,3.78696245522831E+12,3.63896751530120E+12,3.76531006459661E+12,5.13910645562090E+12,6.34374964599799E+12,7.05568480101846E+12,7.20358077866591E+12,8.81882128517199E+12,9.09448709351721E+12,9.76345482636504E+12,8.97382300320585E+12,9.39304362760010E+12,1.07406622299641E+13,1.09577135964442E+13,1.03798870010617E+13,1.06395745276988E+13,1.05179218718310E+13,9.91180137212700E+12,1.00168220820128E+13,1.09617312369563E+13,1.33703400389172E+13,1.55882344037192E+13,1.65948028271511E+13,1.79668940688976E+13,2.10036774608864E+13,2.30652736520282E+13,2.03005923893152E+13,2.08111256695644E+13,2.29135910715486E+13,2.20025473004623E+13,2.29201928545902E+13,0
Europe & Central Asia (developing only),ECA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39503426304787E+11,3.57550059607696E+11,3.94718200464013E+11,4.52847398012632E+11,4.21023164815888E+11,4.11215091473913E+11,4.24270451549113E+11,3.57973780247821E+11,4.08154949249820E+11,4.18285533737471E+11,4.37094326131567E+11,5.17737738168847E+11,4.73826190944184E+11,4.79205528495087E+11,4.36252848983083E+11,5.09499460939713E+11,6.47766987254324E+11,8.24926783295352E+11,1.00906650415165E+12,1.16417834361257E+12,1.47511983796611E+12,1.75655705519715E+12,1.46306239674402E+12,1.65286001619811E+12,1.84785902338664E+12,1.87397872925051E+12,2.00115444670421E+12,0
European Union,EUU,3.59355614095971E+11,3.91242400063955E+11,4.27402905066132E+11,4.70842086531221E+11,5.21801660761678E+11,5.68248255356914E+11,6.15996914739999E+11,6.61933154773005E+11,6.88010099334174E+11,7.55671110314762E+11,8.55685016281375E+11,9.67588661029218E+11,1.15879856682249E+12,1.47066555418639E+12,1.65483240967250E+12,1.93423791182416E+12,2.00249929749856E+12,2.26739339460595E+12,2.77639033754488E+12,3.38859246406149E+12,3.86616170624610E+12,3.41684261903934E+12,3.28923287179816E+12,3.18712035838900E+12,3.05951464041805E+12,3.16153677686601E+12,4.33526005802283E+12,5.35787605928956E+12,5.97080158542024E+12,6.08838409163746E+12,7.55661385327811E+12,7.84160594569206E+12,8.54698190088827E+12,7.79452572482201E+12,8.28547530832780E+12,9.51746079016138E+12,9.72568694287529E+12,9.16592712912520E+12,9.48832847690772E+12,9.47447925446319E+12,8.80854462903712E+12,8.91127674550412E+12,9.71994620908883E+12,1.18522516772189E+13,1.36896530262607E+13,1.43126475941446E+13,1.52736686746965E+13,1.76613503745995E+13,1.90088901671518E+13,1.70018135349752E+13,1.69347826995355E+13,1.83082883021068E+13,1.72519514361830E+13,1.79580733111548E+13,0
Faeroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10568887297039E+09,1.12568447005533E+09,1.06233994383343E+09,1.15489979333878E+09,1.26844591941429E+09,1.48686187895624E+09,1.68399793026322E+09,1.73089429538595E+09,1.97013519876236E+09,2.27822988041222E+09,2.41285969282674E+09,2.19813837228824E+09,0,0,0,0,0
Fiji,FJI,1.12334368396772E+08,1.16993977848207E+08,1.22912941205436E+08,1.29461581515562E+08,1.40040154324227E+08,1.47084750031482E+08,1.50603925515853E+08,1.62625885863484E+08,1.66952937135005E+08,1.82182067703568E+08,2.19878482173564E+08,2.47749327721267E+08,3.16650508967523E+08,4.25963359355326E+08,5.58589870903674E+08,6.84268280812751E+08,6.94552411718837E+08,7.19533137126662E+08,8.29239489844119E+08,1.01974392724662E+09,1.20256735941320E+09,1.23589983618067E+09,1.19401544401544E+09,1.12310727630285E+09,1.17799741363384E+09,1.14121012482663E+09,1.29022861682408E+09,1.17790819197685E+09,1.10997692791722E+09,1.18268657722645E+09,1.33702478222702E+09,1.38384386012470E+09,1.53180306054558E+09,1.63542612530808E+09,1.82528515811761E+09,1.97034772096992E+09,2.12926672842585E+09,2.09399459721549E+09,1.65678477954500E+09,1.94217099918765E+09,1.68410974349338E+09,1.66010234560309E+09,1.84269148109196E+09,2.31593575271653E+09,2.72750721292556E+09,3.00672501478415E+09,3.10309994222992E+09,3.40505061168726E+09,3.52318591955826E+09,2.87062463568032E+09,3.14050883594850E+09,3.64642326567031E+09,3.84982401251467E+09,3.85501710654936E+09,0
Finland,FIN,5.22410219552771E+09,5.92165948503284E+09,6.34058085439073E+09,6.88592032866187E+09,7.76665508578588E+09,8.58934001902985E+09,9.20852450487684E+09,9.36895401031320E+09,8.82303388032993E+09,1.00707667205011E+10,1.13659535673839E+10,1.25367102870134E+10,1.47541365070261E+10,1.94868269799284E+10,2.48672787143532E+10,2.94945155972200E+10,3.18731717187260E+10,3.35246823078058E+10,3.62830914079422E+10,4.44982836208213E+10,5.36850494102646E+10,5.24855332047396E+10,5.28321203897866E+10,5.10140905209223E+10,5.29263949347052E+10,5.59142363775902E+10,7.35866760497302E+10,9.16420938725822E+10,1.09103056147832E+11,1.19064708327560E+11,1.41517648888198E+11,1.27866490222026E+11,1.12625431377754E+11,8.92557510148850E+10,1.03321570859419E+11,1.34199346405229E+11,1.32099404607818E+11,1.26833123353568E+11,1.33936359590565E+11,1.35225868314511E+11,1.25539893126958E+11,1.29250111856823E+11,1.39552983248635E+11,1.71071106094808E+11,1.96776616813495E+11,2.04430930706860E+11,2.16541409976698E+11,2.55371507758635E+11,2.83753003898712E+11,2.51483878456439E+11,2.47799815768477E+11,2.73674236772815E+11,2.55776225885226E+11,2.67328613728338E+11,0
Fragile and conflict affected situations,FCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47933515119674E+11,1.51030460220257E+11,1.44793907287945E+11,1.43352620909212E+11,1.26553068363344E+11,1.34140317681474E+11,1.43275635796475E+11,1.54066029730143E+11,1.50023038425370E+11,1.55682535131610E+11,1.86048093213927E+11,1.70602064381829E+11,1.69730062072293E+11,1.91127966217648E+11,2.26905365048318E+11,2.76220953490278E+11,3.32785151018896E+11,4.19260246414207E+11,5.35480388757108E+11,4.72585160678987E+11,5.56081302187517E+11,5.89815678705961E+11,6.80552409572806E+11,7.13498596068203E+11,0
France,FRA,6.26514749466007E+10,6.83467415044257E+10,7.63137822516964E+10,8.55511137673727E+10,9.49065933883107E+10,1.02160571409274E+11,1.10597467198645E+11,1.19466139619589E+11,1.29847107787883E+11,1.40725497222277E+11,1.48948860281091E+11,1.66564460755298E+11,2.04283485045514E+11,2.65381555686506E+11,2.86526186579378E+11,3.62000917852226E+11,3.73410270417919E+11,4.11464295266114E+11,5.08183139534884E+11,6.15834104224484E+11,7.03525302701025E+11,6.17589619794810E+11,5.86837009681605E+11,5.61852138738274E+11,5.32648802822187E+11,5.55197109067017E+11,7.74556302680178E+11,9.38368438284405E+11,1.02350401938113E+12,1.03012235245733E+12,1.27530056619684E+12,1.27556330659226E+12,1.40872490706320E+12,1.33009497336113E+12,1.40163634215501E+12,1.60989223288211E+12,1.61424541607898E+12,1.46070914812317E+12,1.51075828329998E+12,1.50027594289367E+12,1.36843836373687E+12,1.38221834451902E+12,1.50033785055524E+12,1.84812415349887E+12,2.12420455321500E+12,2.20362383723822E+12,2.32489282006839E+12,2.66297582590546E+12,2.92357394691703E+12,2.69366518929546E+12,2.64683711179478E+12,2.86268014262514E+12,2.68672258926973E+12,2.80642797823399E+12,0
French Polynesia,PYF,0,0,0,0,0,1.76534589603389E+08,2.15659455017302E+08,2.20984369129150E+08,2.59590076293001E+08,2.42943776862299E+08,2.54035999217197E+08,2.96613496873269E+08,3.25843254667123E+08,4.31254103046477E+08,5.55337985682991E+08,6.90319754911192E+08,7.32286143342910E+08,7.93193187415570E+08,1.00557329420763E+09,1.21503177526795E+09,1.36215152368993E+09,1.27997286638172E+09,1.28646264263697E+09,1.33589528639180E+09,1.37899140337881E+09,1.50723077889921E+09,2.30151471729807E+09,2.54319914838930E+09,2.68747282962988E+09,2.63646151710520E+09,3.18120630481549E+09,3.26736760989528E+09,3.55821511024809E+09,3.69460039989225E+09,3.52227232140766E+09,3.98237484592709E+09,3.95469687374892E+09,3.56706251187293E+09,3.77516079738928E+09,3.79701606869688E+09,3.44754313794150E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,1.41468977521066E+08,1.67637907544815E+08,1.82796536614163E+08,1.54480244361122E+08,2.15679855207217E+08,2.26474285587109E+08,2.45849781715899E+08,2.71543680279285E+08,2.94468564534369E+08,3.18124701048949E+08,3.23802475480977E+08,3.81687073058558E+08,4.30508357723916E+08,7.22780701123251E+08,1.54421600398410E+09,2.15759293660712E+09,3.00940997090514E+09,2.80934907417738E+09,2.38947926918878E+09,3.03025111635999E+09,4.27963793385126E+09,3.86226912692642E+09,3.61800784444919E+09,3.39127573131834E+09,3.56145156223569E+09,3.33991475937269E+09,3.40363819357912E+09,3.28179703870584E+09,3.83450337828811E+09,4.18641145745690E+09,5.95229376584484E+09,5.40291978823153E+09,5.59239083266829E+09,4.37864508101769E+09,4.19081934682143E+09,4.95884564902823E+09,5.69403999986528E+09,5.32681711131062E+09,4.48341731311823E+09,4.66299179405396E+09,5.06786550279988E+09,4.71284927964923E+09,4.93150383634766E+09,6.05488317203912E+09,7.17813560641428E+09,8.66573661755060E+09,9.54598281408494E+09,1.15708608722274E+10,1.56853898268882E+10,1.20312684023877E+10,1.45695271246199E+10,1.87961918330851E+10,1.78438154593005E+10,1.93435065986560E+10,0
Gambia The,GMB,0,0,0,0,0,0,4.42120884188291E+07,4.66950087660868E+07,4.11600658347022E+07,4.51680722454283E+07,5.22960836465400E+07,5.57286557957709E+07,5.91605755095456E+07,7.51877683495329E+07,9.57960336554112E+07,1.15179737736179E+08,1.12190822646033E+08,1.38093106277641E+08,1.71833061578461E+08,2.07112649702942E+08,2.41083112728768E+08,2.18767720450751E+08,2.16050534814986E+08,2.13448615748728E+08,1.77340913050244E+08,2.25726370227358E+08,1.85646984458794E+08,2.20626480938017E+08,2.66672202480435E+08,2.84120331647380E+08,3.17083688199874E+08,6.90311093172052E+08,7.14254263103249E+08,7.55040935022498E+08,7.46493955008434E+08,7.85999879720691E+08,8.48239405565637E+08,8.03633368735802E+08,8.40285264631545E+08,8.14724055898334E+08,7.82913865987568E+08,6.87410630457292E+08,5.78235309327198E+08,4.87038679355229E+08,5.78785599995561E+08,6.24173995611616E+08,6.55068112439639E+08,7.98869803525315E+08,9.65771304075503E+08,9.00641059324369E+08,9.51827284917949E+08,9.04256027713510E+08,9.12427787395989E+08,9.03497025655483E+08,0
Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75350186776095E+09,6.35386116529271E+09,3.69061590704546E+09,2.70118060390040E+09,2.51387061964754E+09,2.69373185782140E+09,3.09491550059723E+09,3.51054080924855E+09,3.61350012591588E+09,2.80002431856163E+09,3.05745347585664E+09,3.21948781831957E+09,3.39577867960660E+09,3.99137454850512E+09,5.12527387183724E+09,6.41114732844781E+09,7.76190016604593E+09,1.01722607446426E+10,1.27993372475341E+10,1.07668362765639E+10,1.16385368344274E+10,1.44346199822117E+10,1.58464745957730E+10,1.61400470121438E+10,0
Germany,DEU,0,0,0,0,0,0,0,0,0,0,2.15021806498156E+11,2.49039217364635E+11,2.98667219346133E+11,3.96866742553970E+11,4.43618642959716E+11,4.88780155338262E+11,5.17787921003573E+11,5.98226205424071E+11,7.37668356280428E+11,8.78010536975776E+11,9.46695355820960E+11,7.97443405711813E+11,7.73638200773757E+11,7.67768378016086E+11,7.22367608343069E+11,7.29763282952432E+11,1.04230076979195E+12,1.29326435331882E+12,1.39593154850206E+12,1.39367433215437E+12,1.76496794891660E+12,1.86187389510902E+12,2.12313087038197E+12,2.06855554241098E+12,2.20596601181150E+12,2.59050088712979E+12,2.50157265401612E+12,2.21593728851793E+12,2.23991330443481E+12,2.19668655444279E+12,1.94720840243228E+12,1.94792841163311E+12,2.07630340673819E+12,2.50231376975169E+12,2.81559292991377E+12,2.85755857334726E+12,2.99846639395590E+12,3.43550666370122E+12,3.74705545391322E+12,3.41277024592079E+12,3.41200877273686E+12,3.75210994353354E+12,3.53324246146705E+12,3.73026057135651E+12,0
Ghana,GHA,1.21723009497205E+09,1.30267432488378E+09,1.38251565447343E+09,1.54079758857221E+09,1.73129619952296E+09,2.05346296804260E+09,2.12630067222965E+09,1.74718764490310E+09,1.66690951765205E+09,1.96205055577750E+09,2.21502858845646E+09,2.41710857752739E+09,2.11229327998507E+09,2.46549303225878E+09,2.89440991217090E+09,2.81010639010618E+09,2.76525436020623E+09,3.18942857142857E+09,3.66247817279996E+09,4.02022793115097E+09,4.44522805745354E+09,4.22244167317049E+09,4.03599438338367E+09,4.05727507768156E+09,4.41227986540315E+09,4.50434215298679E+09,5.72760264875537E+09,5.07482993197279E+09,5.19784097268570E+09,5.25176426991812E+09,5.88917483390034E+09,6.60313003987292E+09,6.41607934197329E+09,5.96890567889099E+09,5.44637011457708E+09,6.46438965621299E+09,6.93298463563200E+09,6.89143384090915E+09,7.48207238023810E+09,7.71811078094815E+09,4.98284905402910E+09,5.31487168352230E+09,6.16619719176694E+09,7.63272068028119E+09,8.88141934821705E+09,1.07318831414457E+10,2.04103316256634E+10,2.47575531016266E+10,2.85280146207354E+10,2.59785083759228E+10,3.21748397127933E+10,3.95647716373979E+10,4.17409265051183E+10,4.81370274871795E+10,0
Greece,GRC,4.44652816467559E+09,5.01604878622753E+09,5.32757350909843E+09,5.94947803488751E+09,6.68029825057961E+09,7.60057909311580E+09,8.45561112927936E+09,9.13671128782434E+09,9.91514054635072E+09,1.12660915705718E+10,1.31883477272727E+10,1.46455977272727E+10,1.69478136363636E+10,2.24303072497123E+10,2.54448500000000E+10,2.86311307120085E+10,3.12677919776119E+10,3.63097215541166E+10,4.44335575139147E+10,5.46829107635695E+10,5.70393613109512E+10,5.25396629766298E+10,5.48195280612245E+10,4.96112619969040E+10,4.81972158403869E+10,4.79973066864051E+10,5.65876309639727E+10,6.58950057876195E+10,7.65426778765313E+10,7.94611724716744E+10,9.82523028804815E+10,1.05531204337259E+11,1.16653534858777E+11,1.09210557372176E+11,1.17032055337079E+11,1.37383438740991E+11,1.46558607021518E+11,1.43310869836516E+11,1.44918713248011E+11,1.42998082250160E+11,1.30580431177446E+11,1.36006263982103E+11,1.52714097496706E+11,2.01547404063205E+11,2.39659036585896E+11,2.47665771277919E+11,2.73265389114638E+11,3.18668286256865E+11,3.54628633541010E+11,3.29837035755546E+11,2.99598056253272E+11,2.88803062127739E+11,2.49525371463234E+11,2.42230333768932E+11,0
Greenland,GRL,0,0,0,0,0,0,0,0,0,0,6.95200292730826E+07,8.85709993514860E+07,1.06101302474152E+08,1.40153753721821E+08,1.69918944063056E+08,2.11192463686328E+08,2.40779415675002E+08,2.82269773042773E+08,3.55987428402836E+08,4.20645794968404E+08,4.76051769013942E+08,4.35749013870185E+08,4.02403057151259E+08,4.16184086230970E+08,3.79371913715958E+08,4.12876395826869E+08,6.03016317536303E+08,7.87390447323345E+08,8.98607670624413E+08,9.29799902191124E+08,1.01897722544427E+09,1.01650001628505E+09,1.03791610523293E+09,9.27214127934317E+08,1.00588759203539E+09,1.20895335899709E+09,1.19751563792052E+09,1.07215440678905E+09,1.14985812695747E+09,1.13155510704907E+09,1.06802499398697E+09,1.08617063872901E+09,1.16913669135372E+09,1.42645203010471E+09,1.64495189218151E+09,1.70254347655709E+09,1.73843211643728E+09,2.12175984842420E+09,1.73957959356673E+09,1.26771181612426E+09,0,0,0,0,0
Grenada,GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33222212805178E+07,6.75481469552048E+07,7.83148134317253E+07,8.36148133381239E+07,8.78888873367152E+07,9.52296279478137E+07,1.01211109323658E+08,1.10099998055564E+08,1.28211108846821E+08,1.44011108567783E+08,1.67229626676248E+08,1.84533330074357E+08,2.13066662903774E+08,2.21070366466127E+08,2.41570366104084E+08,2.50914810383499E+08,2.50259254839521E+08,2.61777773154616E+08,2.76296291416728E+08,2.94651846648113E+08,3.04940735355293E+08,3.40814808795808E+08,3.79629400702910E+08,5.20044361186056E+08,5.20444175993810E+08,5.40336916383232E+08,5.91018396969646E+08,5.99118582011777E+08,6.95370284015614E+08,6.98700654327168E+08,7.58683579193757E+08,8.25977874301594E+08,7.71278097489849E+08,7.71015875272257E+08,7.78648652915236E+08,7.99882134021720E+08,8.35581688946799E+08,0
Guam,GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,1.04359993600000E+09,1.07669990400000E+09,1.14360000000000E+09,1.26280000000000E+09,1.29909990400000E+09,1.33139993600000E+09,1.39070003200000E+09,1.45350003200000E+09,1.61049996800000E+09,1.71539993600000E+09,1.90400000000000E+09,1.98480000000000E+09,2.10129996800000E+09,2.56920012800000E+09,3.16149990400000E+09,3.64590003200000E+09,4.36530022400000E+09,5.48050022400000E+09,6.07060019200000E+09,6.90260019200000E+09,7.87870003200000E+09,8.60750028800000E+09,8.71699968000000E+09,9.05000038400000E+09,9.47000012800000E+09,9.72165229198458E+09,7.23196333980992E+09,7.08439982080000E+09,7.84160317610698E+09,8.41072440921075E+09,7.65012557646280E+09,9.40609746110554E+09,1.04408422916470E+10,1.13999428203849E+10,1.29832351187030E+10,1.46569179001721E+10,1.57815799504132E+10,1.77886571938986E+10,1.93936722439406E+10,1.83170894730904E+10,1.92905665700483E+10,1.87028207350173E+10,2.07765369199593E+10,2.19175654999150E+10,2.39652803120871E+10,2.72112434732261E+10,3.02311173896402E+10,3.41130934539246E+10,3.91365079365079E+10,3.77336551656538E+10,4.13379582516320E+10,4.76548411128523E+10,5.03884548611111E+10,5.37967094745953E+10,0
Guinea,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92260089938410E+09,2.04153805702893E+09,2.38429576372549E+09,2.43202938043694E+09,2.66661617691609E+09,3.01489056904099E+09,3.28462527716186E+09,3.27906331763475E+09,3.38321892279336E+09,3.69375337905992E+09,3.86903227091633E+09,3.78378855108190E+09,3.58837598448374E+09,3.46128218969643E+09,2.99536096917427E+09,2.83344275041891E+09,2.94963703906356E+09,3.44644221889829E+09,3.66634904940435E+09,2.93707200903430E+09,2.82134668351402E+09,4.13417327102084E+09,4.51582464335047E+09,4.60992372017795E+09,4.73595647583382E+09,5.06736004110404E+09,5.65108817028606E+09,6.14413190301383E+09,0
Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0,7.87335388063883E+07,7.85400000000000E+07,8.77028571428572E+07,8.93741851368970E+07,9.87753036437247E+07,1.08985752233760E+08,1.12386559139785E+08,1.14971282179455E+08,1.22666792285524E+08,1.18537824773414E+08,1.10653830726033E+08,1.54731969696970E+08,1.65523634496920E+08,1.63577538330494E+08,1.38478900626886E+08,1.43856253125000E+08,1.30225018751674E+08,1.73836362010107E+08,1.64458120314078E+08,2.13143016443434E+08,2.43961995509711E+08,2.57150573214575E+08,2.26313492707039E+08,2.36880813824506E+08,2.35619994764252E+08,2.53966919936090E+08,2.70419779418107E+08,2.68551010939623E+08,2.06457553398034E+08,2.24446652144832E+08,3.70173851945686E+08,3.92278164416457E+08,4.15843479843865E+08,4.76388249275291E+08,5.31109346810712E+08,5.86791836059541E+08,5.91829897548303E+08,6.95606313878293E+08,8.64107768265095E+08,8.25796952674360E+08,8.47491366886774E+08,1.10365204122031E+09,9.58857944221004E+08,9.60778479475346E+08,0
Guyana,GUY,1.70216238857225E+08,1.85849532898944E+08,1.94949510027706E+08,1.75757891595894E+08,1.94774510467537E+08,2.13235288136558E+08,2.28705875937914E+08,2.50176463570974E+08,2.29750000000000E+08,2.49300000000000E+08,2.67800000000000E+08,2.82050000000000E+08,2.85380965340976E+08,3.07047632991592E+08,4.33954536048833E+08,4.94791647005413E+08,4.54440000000000E+08,4.49880000000000E+08,5.07080000000000E+08,5.30440000000000E+08,6.03200000000000E+08,5.70357116855982E+08,4.82000000000000E+08,4.89333333333333E+08,4.37631610754711E+08,4.53488351977666E+08,5.04651117150102E+08,3.54591840037446E+08,4.13799990000000E+08,3.79779379053357E+08,3.96582263291139E+08,3.36708410308116E+08,3.68281383388912E+08,4.42273443546171E+08,5.40874922265948E+08,6.21626785915493E+08,7.05406032090150E+08,7.49138004427072E+08,7.17530696553600E+08,6.94754983970153E+08,7.12667925339779E+08,6.96281468774584E+08,7.22460911811326E+08,7.41929342788749E+08,7.85918769587635E+08,8.24880550343965E+08,1.45844905788559E+09,1.74033478183731E+09,1.92259812123066E+09,2.02556508948272E+09,2.25928839624467E+09,2.57660249733479E+09,2.85115407595385E+09,2.99012882097983E+09,0
Haiti,HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47634628135777E+09,2.11140582568328E+09,1.80628558704556E+09,2.12493351602791E+09,2.69549973033928E+09,2.97086520266312E+09,3.24266733121432E+09,3.75750038122703E+09,4.08870311965814E+09,3.66450384556892E+09,3.50798194553618E+09,3.21463247863248E+09,2.82648107196147E+09,3.66048388568707E+09,4.15428983239201E+09,4.87973863595586E+09,5.88532558997642E+09,6.54853057235291E+09,6.58464941928348E+09,6.62254152856888E+09,7.51683416025277E+09,7.89021650768913E+09,8.45932665975657E+09,0
